pin ,rotation speed,torque,Power,volumetric flow rate (DN 40),p1,p2,p3,p4,p5,p6,room temp
bara,U/min,Nm,W,Nmｳ/h,bar,bar,bar,bar,bar,bar,ｰC
9.98,2811.169575,-3.712332,-1092.854869,54.711068,0.98,0.978165,0.974859,0.979618,0.978645,0.979735,21.874133
9.98,2811.650228,-3.875746,-1141.156822,52.889157,0.980254,0.977847,0.974873,0.979436,0.979004,0.979794,21.948306
9.98,2811.602163,-3.881193,-1142.740568,52.871417,0.980259,0.977845,0.974866,0.979433,0.979008,0.979796,21.949941
9.98,2809.198894,-3.935665,-1157.788445,53.983742,0.980177,0.978054,0.974589,0.979497,0.978817,0.979814,21.941161
9.98,2809.323864,-3.92461,-1154.584992,53.96744,0.980142,0.978061,0.974606,0.979495,0.978832,0.979815,21.938838
9.98,2811.760779,-3.709048,-1092.117649,53.649565,0.979469,0.978198,0.974943,0.979446,0.979129,0.979832,21.893555
,,,,,,,,,,,
9.98,2809.723608,-3.888223476,-1144.03105,52.38751471,0.979981476,0.978011762,0.974780571,0.979563714,0.978978714,0.979864381,21.91512729
,,,,,,,,,,,
9.98,2604.688599,-4.03876,-1101.604651,55.559695,0.979953,0.97803,0.974813,0.979688,0.978941,0.979711,21.892289
9.98,2600.997202,-4.195125,-1142.650429,52.076968,0.980019,0.978063,0.974864,0.979637,0.978882,0.979828,21.915582
9.98,2601.934471,-4.112617,-1120.555768,51.18519,0.980048,0.978078,0.974857,0.979579,0.97891,0.979844,21.903104
9.98,2604.840004,-3.856842,-1052.062319,48.42068,0.98014,0.978123,0.974836,0.979399,0.978994,0.979893,21.864422
9.98,2604.147867,-3.964503,-1081.123706,50.129441,0.979927,0.978115,0.974833,0.979425,0.979069,0.979892,21.868373
9.98,2602.475203,-4.224684,-1151.355391,54.258946,0.979413,0.978095,0.974827,0.979488,0.97925,0.979888,21.877922
9.98,2602.537687,-4.100761,-1117.607841,53.729153,0.979552,0.978103,0.97484,0.979526,0.979185,0.979906,21.888361
9.98,2602.672269,-3.833851,-1044.920812,52.588062,0.979851,0.978119,0.974868,0.979609,0.979045,0.979944,21.910845
9.98,2604.354547,-3.90899,-1066.114054,52.473953,0.97988,0.978104,0.974881,0.979583,0.979039,0.980003,21.900169
9.98,2607.598938,-4.0539,-1106.986736,52.253885,0.979935,0.978077,0.974906,0.979534,0.979027,0.980116,21.87958
9.98,2605.253363,-4.08466,-1114.371252,53.281826,0.979837,0.978068,0.974826,0.979545,0.979134,0.979913,21.883185
9.98,2601.588402,-4.132723,-1125.909557,54.887985,0.979683,0.978054,0.974701,0.979562,0.979302,0.979595,21.888818
9.98,2604.162286,-4.026504,-1098.016319,54.170727,0.979807,0.978044,0.974712,0.97962,0.979228,0.979807,21.897853
9.98,2607.796005,-3.876547,-1058.63763,53.158128,0.979981,0.97803,0.974729,0.979702,0.979125,0.980107,21.910608
9.98,2605.101958,-3.992219,-1089.062048,52.793746,0.980098,0.978043,0.974875,0.979639,0.979092,0.980029,21.894912
9.98,2601.982536,-4.126154,-1124.290322,52.37183,0.980233,0.978058,0.975045,0.979567,0.979055,0.979939,21.876738
9.98,2603.857073,-3.981965,-1085.753814,53.675934,0.98001,0.978056,0.974968,0.979553,0.979139,0.980003,21.876738
9.98,2605.825337,-3.830567,-1045.290481,55.045244,0.979776,0.978054,0.974887,0.979539,0.979227,0.98007,21.876738
9.98,2604.715035,-4.034114,-1100.343001,52.628815,0.979824,0.978008,0.975025,0.979613,0.979136,0.979979,21.87783
9.98,2603.657603,-4.227968,-1152.773974,50.327454,0.97987,0.977965,0.975157,0.979683,0.97905,0.979893,21.87887
9.98,2602.917401,-4.217394,-1149.564768,51.972927,0.980005,0.978058,0.974965,0.979626,0.97899,0.979883,21.888147
